fold,cutoff_date,horizon_end_date,n_train,n_test,pinball_q0.1,pinball_q0.5,pinball_q0.9,crps,empirical_coverage,nominal_coverage
0,2024-07-26,2024-09-02,3104,608,1.6847570490837098,3.927557241602947,1.7218020110381274,4.504669417331093,0.8174342105263158,0.8
1,2024-09-02,2024-10-10,3712,608,1.6096908500320033,3.546885922708009,1.770095190248991,4.189423154278805,0.8256578947368421,0.8
2,2024-10-11,2024-11-18,4336,608,1.895572201358645,4.282477401745947,1.865799923633274,4.930530771393524,0.7483552631578947,0.8
3,2024-11-18,2024-12-26,4944,608,1.9197106868969769,4.290645255854256,1.8733110111638118,4.94972488390772,0.8125,0.8
4,2024-12-27,2025-02-03,5568,608,2.019165355531793,4.711148764898903,2.1507098101314743,5.436869078184429,0.756578947368421,0.8
