fold,cutoff_date,horizon_end_date,n_train,n_test,pinball_q0.1,pinball_q0.5,pinball_q0.9,crps,empirical_coverage,nominal_coverage
0,2024-07-26,2024-09-02,3104,608,1.7971321701376062,4.087963722567809,1.716866560107783,4.675970470152404,0.7648026315789473,0.8
1,2024-09-02,2024-10-10,3712,608,1.5974580076180007,3.62998576070133,1.7634534688372359,4.248353199143159,0.8273026315789473,0.8
2,2024-10-11,2024-11-18,4336,608,1.8656780358992124,4.30339005150293,1.8866984759506424,4.943662645942287,0.7631578947368421,0.8
3,2024-11-18,2024-12-26,4944,608,1.876374280389987,4.312959179125334,1.9456731768658286,4.979186326202593,0.7532894736842105,0.8
4,2024-12-27,2025-02-03,5568,608,1.9798332263921437,4.724068544412914,2.139990381253393,5.4271842785885465,0.7680921052631579,0.8
